Tipo de Servicio que se ofrece: ,Años de operación:,¿Cómo te promocionas actualmente?,¿Cómo describes la función de promoción actualmente?,¿Cómo te das a conocer actualmente?,De esos medios: Elige 3 que realmente te traen clientes.,¿Usas alguna app o plataforma para promocionar tu servicio? ¿Cómo ha sido tu experiencia?,Cuéntame un poco sobre tu negocio o servicio. ¿Qué ofreces y a qué tipo de visitantes atiendes normalmente?,¿Cómo es un día normal para ti cuando tienes visitantes o clientes?,¿Hay temporadas donde tienes muchos visitantes y otras donde casi no llegan? ¿Cómo te afecta eso?,Estacionalidad_Categoria,¿Cuál dirías que es el principal problema que enfrentas para atraer más visitantes?,"¿Qué tan fácil o difícil te resulta usar herramientas digitales para promocionarte?
",¿Has tenido alguna mala experiencia con plataformas digitales o redes sociales? ¿Qué pasó?,"Menciona ¿Cuál consideras sería la principal dificultad?
",¿Qué te haría confiar en una plataforma turística del gobierno del estado?,¿Qué tan valioso sería para ti aparecer en una app oficial que recomiende tu servicio a los visitantes?,"Si esa app existiera, ¿qué debería ofrecerte para que realmente la usaras?",¿Qué tan valioso consideras sería aparecer en una app turística oficial?,¿Qué funciones te resultarían más útiles?,En una escal del 1 al 5; donde 1 es nada y 5 totalmente. ¿Qué tanto confiaría en una plataforma que es oficial y gratuita?,"¿Qué tan dispuesto estarías a mantener tu información actualizada (por ejemplo de horarios, precios, fotos)?",¿Qué te motivaría a seguir usando la plataforma en el tiempo?,"Si pudieras pedirle algo a una plataforma turística para apoyar tu negocio, ¿qué sería?
","En una frase, ¿qué esperas de una plataforma turística del estado?"
Artesanías y Comercio,Más de 10 años,Plataformas digitales,Las plataformas digitales me ayudan,Ferias,"Redes sociales, Plataformas, Ferias",No,Artesanías  y turismo  local ,Tranquilo ,"Si, afecta  los  ingresos ",Impacto Económico / Baja Afluencia,Falta de Publicidad / Visibilidad,Difícil / Complicado,Sin Malas Experiencias,Pocos clientes,Seguridad ,Valioso,Que sea confiable ,Muy valioso,Mayor visibilidad,5.0,Dispuesto,Resultados Tangibles (Ventas/Ingresos),Apoyar  en la difusión  de los comerciantes seguridad ,Seguridad 
Alimentos y Bebidas,1–3 años,Plataformas digitales,Las plataformas digitales me ayudan,Recomendaciones,De boca a boca,Sí,Normalmente a los Locales,Cuando son vacaciones esta lleno,"En vacaciones si hay gente, en enero hay poco gente",Temporada Vacacional,Falta de Publicidad / Visibilidad,Difícil / Complicado,Sin Malas Experiencias,Falta de conocimientos digitales,Que sea segura,Valioso,Segura,Valioso,Perfil verificado,3.0,Dispuesto,Otros / Indeciso,Seguridad,Innovadora 
Artesanías y Comercio,4–10 años,No me promociono,No siempre veo resultados claros,De boca a boca,De boca a boca,No,Turistas fin de semana y locatarios entre semana,"Turistas,os en semana santa",Semana santa y vacaciones,Temporada Vacacional,Otro Factor / No Especifica,Difícil / Complicado,Sin Malas Experiencias,Falta de conocimientos digitales,Sus páginas promociones,Muy valioso,Que se vea que vendo y que de diferente ofrezco,Muy valioso,Mayor visibilidad,5.0,Dispuesto,Mayor Visibilidad y Promoción,Accesoria,Espero ventas
Artesanías y Comercio,4–10 años,No me promociono,No siempre veo resultados claros,Recomendaciones,"Recomendaciones, Redes sociales, De boca a boca",No,"Ropa, artesanías, novedades, atiende básicamente turistas y población del mpio.","Entre semana hay regular venta, pocos turistas ","Cuandono hay vacaciones escolares, puentes, hay muy poco turista y por consiguiente ocas ventas.",Temporada Vacacional,Infraestructura y Acceso,Difícil / Complicado,Fraudes o Estafas,Falta de conocimientos digitales,"Que sería algo oficial, y de confianza. ",Valioso,"Productos que ofrecen, costos reales, ubicación, num. Telefónicos, información siempre este disponible.",Valioso,Contacto directo con turistas,4.0,Dispuesto,Resultados Tangibles (Ventas/Ingresos),Manejar información verídica.,"Honestidad, responsabilidad, seguimiento y actualización real. "
Artesanías y Comercio,Más de 10 años,No me promociono,Me cuesta trabajo atraer visitantes,De boca a boca,"Redes sociales, Recomendaciones, De boca a boca",No,Mexicanos normalmente mexicanos,Pues visitantes puede haber unos 50 o 60 clientes unos cuatro cinco ahí es temporadas semana santa y nos afecta pues no tenemos casi para convivir para comer,,Sin Dato,Falta de Recursos / Inversión,Difícil / Complicado,Sin Malas Experiencias,Falta de conocimientos digitales,Nos da confianza,Muy valioso,Que nos capacitaran que nos enseñaran,Muy valioso,Contacto directo con turistas,4.0,Muy dispuesto,Otros / Indeciso,Para qué Pero para qué es para para vender para vender para Pues sí para vender más piezas cosas,Confianza
Alimentos y Bebidas,1–3 años,Recomendación directa,Mantener redes sociales es complicado,De boca a boca,"De boca a boca, Ferias, Redes sociales",No,Turistas y personas locales,Cuando se venden mil pesos,En verano las vacaciones y decembrinas,Temporada Vacacional,Infraestructura y Acceso,Difícil / Complicado,Sin Malas Experiencias,Falta de conocimientos digitales,Sea confiable ,Muy valioso,Confiabilidad ,Nada valioso,Perfil verificado,5.0,Muy dispuesto,Resultados Tangibles (Ventas/Ingresos),Recomendaciones,Que atraiga más turismo para derrama economica
Artesanías y Comercio,Más de 10 años,Redes sociales,Las plataformas digitales me ayudan,Redes sociales,"Redes sociales, Recomendaciones, De boca a boca",Sí,Turistas y locales,Con mucho trabajo ,Después de verano regresando a clases porque muchas personas tienen gastos por los niños,Variable / Otro,Infraestructura y Acceso,Difícil / Complicado,Sin Malas Experiencias,Falta de conocimientos digitales,Que brinden todas asesorías para promocionar más las artesanias,Muy valioso,Confiable,Muy valioso,Contacto directo con turistas,4.0,Dispuesto,Resultados Tangibles (Ventas/Ingresos),Más promocion de locatarios,Mayor promoción y confianza
Alimentos y Bebidas,Más de 10 años,Redes sociales,Las plataformas digitales me ayudan,Plataformas,"Redes sociales, Plataformas, Recomendaciones",Sí,Alimentos y bebidas ,100 personas o mas,Si,Variable / Otro,Otro Factor / No Especifica,Fácil / Accesible,Sin Malas Experiencias,Pocos clientes,La difusión ,Muy valioso,Promoción ,Valioso,Recomendaciones a turistas,5.0,Muy dispuesto,Otros / Indeciso,Promoción al restaurante ,"Publicidad, videos y en general difusión,  mayor proyección en plataforma digital "
Alimentos y Bebidas,1–3 años,Otro: En Google maps,Mantener redes sociales es complicado,Redes sociales,Recomendaciones,Sí,Mucho turista,Con mucha afluencia el fin de semana,Semana santa y cacaciones,Temporada Vacacional,Otro Factor / No Especifica,Fácil / Accesible,Sin Malas Experiencias,Falta de conocimientos digitales,Que sea segura y que las personas vengan identificadas ,Muy valioso,Vistas ,Muy valioso,Contacto directo con turistas,5.0,Muy dispuesto,Resultados Tangibles (Ventas/Ingresos),Que sea fácil de utilizar ,Rapidez 
Transporte,Más de 10 años,Plataformas digitales,Me cuesta trabajo atraer visitantes,Redes sociales,"Redes sociales, Recomendaciones, Plataformas",Sí,Transporte,Muchos,En vacíones hay más ,Variable / Otro,Otro Factor / No Especifica,Difícil / Complicado,Sin Malas Experiencias,Falta de tiempo,Que sea viable,Neutral,Que sea fácil ,Neutral,Contacto directo con turistas,3.0,Poco dispuesto,Sin Dato,,Que atraiga más clientes
Alimentos y Bebidas,Menos de 1 año,Recomendación directa,Las plataformas digitales me ayudan,De boca a boca,"De boca a boca, Redes sociales, Recomendaciones",Sí,Alimentos y ateinde locatarios,Normal,Vaciones tiene más gente y cuando no afecta la economia,Temporada Vacacional,Infraestructura y Acceso,Difícil / Complicado,Malas Reseñas / Gestión de Reputación,Falta de conocimientos digitales,Que los datos estén protegidos,Valioso,Actualizada,Valioso,Perfil verificado,5.0,Dispuesto,Confianza y Respaldo Institucional,La visibilidad,Que estuviera seccionada y fuera fácil reconocer
Artesanías y Comercio,4–10 años,Recomendación directa,Las plataformas digitales me ayudan,Recomendaciones,"Recomendaciones, De boca a boca, Plataformas",No,"Artesanías, ropa artesanal, es para turista ","Es concurrido, sábados y domingos","Si, en vacaciones y si llega a afectar porque no hay ventas",Temporada Vacacional,Infraestructura y Acceso,Difícil / Complicado,Sin Malas Experiencias,Costos de publicidad,Por recomendaciones ,Muy valioso,"Que fuera atractiva al turista, que tuviera secciones para identificar lo que busca el turista",Muy valioso,Recomendaciones a turistas,5.0,Muy dispuesto,Resultados Tangibles (Ventas/Ingresos),Que este seccionado y sea atractivo,"Que sea eficaz, práctica,  que este bien diseñada"
Artesanías y Comercio,Más de 10 años,No me promociono,Me cuesta trabajo atraer visitantes,Ferias,"Redes sociales, Plataformas, Ferias",No,Entonces este atendemos con buena calidad aquí de nuestros productos artesanías que hacemos nosotros personalmente y les ofrecemos a turistas nacionales y internacionales,Un día muy bueno el día que hay mucho turista pues nuestras ventas aumentan un poco teniendo mucho turismo pero cuando no pues es baja la venta un día pues no muy bueno,Pues nos afecta en economía porque nosotros dependemos de nuestro negocio aquí toda la familia de nosotros o sea mi familia depende de mi negocio cuando no hay visitante pues no no tenemos ingresos,Impacto Económico / Baja Afluencia,Falta de Recursos / Inversión,Difícil / Complicado,Sin Malas Experiencias,Falta de visibilidad,Que me alegrandeado pues no pues no así sí confianza pues no porque la primera vez que yo que me invitan a hacer una cosa de este y pues ya es depende de igualdad del gobierno que si no nos Oye y solamente así confiaría uno,Muy valioso,Confianza,Neutral,Mayor visibilidad,4.0,Muy dispuesto,Aprendizaje y Capacitación,Pues en el apoyo de primer lugar en el apoyo económico y en segundo el que Cómo se le puede decir este promocionar más la zona arqueológica de Tula para que llegue más turista,
