Id,Tipo de Servicio que se ofrece: ,Tipo de Servicio que se ofrece:  (Otro),Años de operación:,¿Cómo te promocionas actualmente?,¿Cómo te promocionas actualmente? (Otro),¿Cómo describes la función de promoción actualmente?,¿Cómo te das a conocer actualmente?,¿Cómo te das a conocer actualmente? (Otro),De esos medios: Elige 3 que realmente te traen clientes.,De esos medios: Elige 3 que realmente te traen clientes. (Otro),¿Usas alguna app o plataforma para promocionar tu servicio? ¿Cómo ha sido tu experiencia?,Cuéntame un poco sobre tu negocio o servicio. ¿Qué ofreces y a qué tipo de visitantes atiendes normalmente?,¿Cómo es un día normal para ti cuando tienes visitantes o clientes?,¿Hay temporadas donde tienes muchos visitantes y otras donde casi no llegan? ¿Cómo te afecta eso?,¿Cuál dirías que es el principal problema que enfrentas para atraer más visitantes?,"¿Qué tan fácil o difícil te resulta usar herramientas digitales para promocionarte?
",¿Has tenido alguna mala experiencia con plataformas digitales o redes sociales? ¿Qué pasó?,"Menciona ¿Cuál consideras sería la principal dificultad?
",¿Qué te haría confiar en una plataforma turística del gobierno del estado?,¿Qué tan valioso sería para ti aparecer en una app oficial que recomiende tu servicio a los visitantes?,"Si esa app existiera, ¿qué debería ofrecerte para que realmente la usaras?",¿Qué tan valioso consideras sería aparecer en una app turística oficial?,¿Qué funciones te resultarían más útiles?,En una escal del 1 al 5; donde 1 es nada y 5 totalmente. ¿Qué tanto confiaría en una plataforma que es oficial y gratuita?,"¿Qué tan dispuesto estarías a mantener tu información actualizada (por ejemplo de horarios, precios, fotos)?",¿Qué te motivaría a seguir usando la plataforma en el tiempo?,"Si pudieras pedirle algo a una plataforma turística para apoyar tu negocio, ¿qué sería?
","En una frase, ¿qué esperas de una plataforma turística del estado?"
92,Otro: Artesania,,4–10 años,No me promociono,,No siempre veo resultados claros,Recomendaciones,,"Recomendaciones, Redes sociales, De boca a boca",,FALSO,"Ropa, artesanías, novedades, atiende básicamente turistas y población del mpio.","Entre semana hay regular venta, pocos turistas ","Cuandono hay vacaciones escolares, puentes, hay muy poco turista y por consiguiente ocas ventas.",En este momento les afecta el cierre de un tramo de la carretera hacia Pachuca por rehabilitación.,"Difícil, hace falta capacitación a prestadores de servicio sobre el tema","En su negocio no, pero sabe de ofrecimiento de hospedajes en cabañas en el lugar, que resultan en fraudes. ",Falta de conocimientos digitales,"Que sería algo oficial, y de confianza. ",Valioso,"Productos que ofrecen, costos reales, ubicación, num. Telefónicos, información siempre este disponible.",Valioso,Contacto directo con turistas,4,Dispuesto,"Que se refleje en aumento de ventas, incremento de turismo",Manejar información verídica.,"Honestidad, responsabilidad, seguimiento y actualización real. "
93,Artesanía,,Más de 10 años,No me promociono,,Me cuesta trabajo atraer visitantes,De boca a boca,,"Redes sociales, Recomendaciones, De boca a boca",,FALSO,Mexicanos normalmente mexicanos,Pues visitantes puede haber unos 50 o 60 clientes unos cuatro cinco ahí es temporadas semana santa y nos afecta pues no tenemos casi para convivir para comer,,Cómo exponer nuestras cosas y con invertir en piezas,Si se me hace difícil no le atendemos mucho Sí así no le entendemos mucho al teléfono y todo eso sí se,No,Falta de conocimientos digitales,Nos da confianza,Muy valioso,Que nos capacitaran que nos enseñaran,Muy valioso,Contacto directo con turistas,4,Muy dispuesto,Pues bueno muy bueno Me gustaría Sabiendo,Para qué Pero para qué es para para vender para vender para Pues sí para vender más piezas cosas,Confianza
94,Otro: Dulce artesanal,,1–3 años,Recomendación directa,,Mantener redes sociales es complicado,De boca a boca,,"De boca a boca, Ferias, Redes sociales",,FALSO,Turistas y personas locales,Cuando se venden mil pesos,En verano las vacaciones y decembrinas,Las carreteras ,No me afecta,No no tengo,Falta de conocimientos digitales,Sea confiable ,Muy valioso,Confiabilidad ,Nada valioso,Perfil verificado,5,Muy dispuesto,Más ventas,Recomendaciones,Que atraiga más turismo para derrama economica
95,Artesanía,,Más de 10 años,Redes sociales,,Las plataformas digitales me ayudan,Redes sociales,,"Redes sociales, Recomendaciones, De boca a boca",,VERDADERO,Turistas y locales,Con mucho trabajo ,Después de verano regresando a clases porque muchas personas tienen gastos por los niños,Las obras por cierre de transito,Nada,No,Falta de conocimientos digitales,Que brinden todas asesorías para promocionar más las artesanias,Muy valioso,Confiable,Muy valioso,Contacto directo con turistas,4,Dispuesto,Las mayores ventas,Más promocion de locatarios,Mayor promoción y confianza
96,Restaurante / café,,Más de 10 años,Redes sociales,,Las plataformas digitales me ayudan,Plataformas,,"Redes sociales, Plataformas, Recomendaciones",,VERDADERO,Alimentos y bebidas ,100 personas o mas,Si,"Construcción sobre vías públicas desvío de tránsito por otras vías, dando mala imagen ","No, ayuda a promover el negocio ",No,Pocos clientes,La difusión ,Muy valioso,Promoción ,Valioso,Recomendaciones a turistas,5,Muy dispuesto,Si,Promoción al restaurante ,"Publicidad, videos y en general difusión,  mayor proyección en plataforma digital "
97,Restaurante / café,,1–3 años,Otro: En Google maps,,Mantener redes sociales es complicado,Otro: Google maps,,Recomendaciones,,VERDADERO,Mucho turista,Con mucha afluencia el fin de semana,Semana santa y cacaciones,Que el negocio está escondido ,Medio es facil,No,Falta de conocimientos digitales,Que sea segura y que las personas vengan identificadas ,Muy valioso,Vistas ,Muy valioso,Contacto directo con turistas,5,Muy dispuesto,Que las ventas incrementen ,Que sea fácil de utilizar ,Rapidez 
98,Otro: Transporte,,Más de 10 años,Plataformas digitales,,Me cuesta trabajo atraer visitantes,Redes sociales,,"Redes sociales, Recomendaciones, Plataformas",,VERDADERO,Transporte,Muchos,En vacíones hay más ,Las rutas,Difícil ,No,Falta de tiempo,Que sea viable,Neutral,Que sea fácil ,Neutral,Contacto directo con turistas,3,Poco dispuesto,,,Que atraiga más clientes
99,Restaurante / café,,Menos de 1 año,Recomendación directa,,Las plataformas digitales me ayudan,De boca a boca,,"De boca a boca, Redes sociales, Recomendaciones",,VERDADERO,Alimentos y ateinde locatarios,Normal,Vaciones tiene más gente y cuando no afecta la economia,Cuando les cierran las carreteras.,Un poco dificil,Si algunos clientes no se van a gusto y ponen mala reseña,Falta de conocimientos digitales,Que los datos estén protegidos,Valioso,Actualizada,Valioso,Perfil verificado,5,Dispuesto,La seguridad,La visibilidad,Que estuviera seccionada y fuera fácil reconocer
100,Artesanía,,4–10 años,Recomendación directa,,Las plataformas digitales me ayudan,Recomendaciones,,"Recomendaciones, De boca a boca, Plataformas",,FALSO,"Artesanías, ropa artesanal, es para turista ","Es concurrido, sábados y domingos","Si, en vacaciones y si llega a afectar porque no hay ventas","Carreteras, hay pocas vialidades, no hay dónde estacionarse, los precios de otros servicios. ","No es tan complicado, pero si ayuda",No,Costos de publicidad,Por recomendaciones ,Muy valioso,"Que fuera atractiva al turista, que tuviera secciones para identificar lo que busca el turista",Muy valioso,Recomendaciones a turistas,5,Muy dispuesto,Promocionar mi negocio ,Que este seccionado y sea atractivo,"Que sea eficaz, práctica,  que este bien diseñada"
101,Artesanía,,Más de 10 años,No me promociono,,Me cuesta trabajo atraer visitantes,Ferias,,"Redes sociales, Plataformas, Ferias",,FALSO,Entonces este atendemos con buena calidad aquí de nuestros productos artesanías que hacemos nosotros personalmente y les ofrecemos a turistas nacionales y internacionales,Un día muy bueno el día que hay mucho turista pues nuestras ventas aumentan un poco teniendo mucho turismo pero cuando no pues es baja la venta un día pues no muy bueno,Pues nos afecta en economía porque nosotros dependemos de nuestro negocio aquí toda la familia de nosotros o sea mi familia depende de mi negocio cuando no hay visitante pues no no tenemos ingresos,Pues es el abandono de la zona arqueológica que está muy deteriorada Y pues le hace falta mucho mucho inversión para que la promociónen y el restauren muchas cosas que están deterioradas,No no no pues sí se me hace un poco fácil bueno dependiendo de que para aprender lo que me enseñe Pues sí sí podría yo manejar algo de de los de la ahorita y ya la actualidad toda la forma de trabajo ningún alguna herramienta que me enseñaran pues es no se me hace tan difícil,No,Falta de visibilidad,Que me alegrandeado pues no pues no así sí confianza pues no porque la primera vez que yo que me invitan a hacer una cosa de este y pues ya es depende de igualdad del gobierno que si no nos Oye y solamente así confiaría uno,Muy valioso,Confianza,Neutral,Mayor visibilidad,4,Muy dispuesto,Actualizarme en todos los aspectos para tener mejor este posibilidades de superarse uno en todos los aspectos,Pues en el apoyo de primer lugar en el apoyo económico y en segundo el que Cómo se le puede decir este promocionar más la zona arqueológica de Tula para que llegue más turista,
