Id,1. ¿De dónde nos visitas?,1.1 ¿De qué municipio del estado de Hidalgo perteneces?,2. ¿En qué rango de edad te encuentras?,"3. ¿Con qué género te identificas?
","4. ¿Con qué frecuencia realizas viajes dentro de México?
","5. ¿Cuántas veces ha visitado alguno de los destinos turísticos de Hidalgo en los últimos 24 meses?
","6. ¿Qué tanto te motiva principalmente a viajar los siguientes aspectos?
","6. ¿Qué tanto te motiva principalmente a viajar los siguientes aspectos?
 (Otro)",7. Los medios donde buscas inspiración para elegir destinos en Hidalgo.,7. Los medios donde buscas inspiración para elegir destinos en Hidalgo. (Otro),8. En cuanto a la confianza y uso de las tecnologías indica tu nivel en que estas de acuerdo con las siguientes frases:,8. En cuanto a la confianza y uso de las tecnologías indica tu nivel en que estas de acuerdo con las siguientes frases: (Otro),9. ¿Qué factor influye más en tu decisión de seguir una recomendación turística?,9. ¿Qué factor influye más en tu decisión de seguir una recomendación turística? (Otro),"10. En una escala del 1 al 5 donde 1 es Nada valioso y 5 es Muy valioso ¿Cómo sería para ti que una app turística te recomiende comercios y experiencias locales auténticas?
","11. De una escala del 1 al 5 donde 1 es Totalmente en desacuerdo y 5 es Totalmente de acuerdo. Indica que tanto estás de acuerdo con la siguiente frase:  ""Me sentiría más confiado/a usando una app turística si sé que las recomendaciones están validadas por personas locales o por una institución oficial.”
",12. ¿Qué tipo de información consideras más importante?,12. ¿Qué tipo de información consideras más importante? (Otro),13. ¿Con qué frecuencia has enfrentado los siguientes problemas al viajar?,13. ¿Con qué frecuencia has enfrentado los siguientes problemas al viajar? (Otro),"14. En una escala del 1 al 5,  donde 1 es nada probable y 5 muy probable. ¿Qué tan probable es que uses una app oficial del estado de Hidalgo para planear y vivir tus viajes?
",15. ¿Qué funciones consideras indispensables en una app de viajes?,15. ¿Qué funciones consideras indispensables en una app de viajes? (Otro),16. ¿Qué haría que dejaras de usar una app turística? (Selecciona 3 opciones),"17. En una frase, ¿qué esperas de una app turística ideal para viajar en Hidalgo?
","17. En una frase, ¿qué esperas de una app turística ideal para viajar en Hidalgo?
 (Otro)"
456,Ciudad de México,,40–49 años,Mujer,Varias veces al año,1 vez,Aventura,,Google,,Me ayudan a ahorrar tiempo,,Recomendación local,,5,3,Mapas y rutas,,Falta de información en el momento exacto,,1,Eventos y experiencias locales,,"Exceso de publicidad, Información falsa o incompleta",Vengo de CdMx y prefiero investigar por mi cuenta,
457,Tabasco,,18–29 años,Hombre,Esporádicamente,1 vez,Naturaleza,,Google,,La información suele ser clara y actualizada,,Fotos reales,,5,4,Eventos o actividades del día,,Información desactualizada,,5,Información verificada,,"Exceso de publicidad, Mala experiencia de uso, Información falsa o incompleta",INTERESANTE,
458,Ciudad de México,,30–39 años,Mujer,Una vez al año,1 vez,4 veces o más,,Redes sociales,,Me ayudan a ahorrar tiempo,,Fotos reales,,5,5,Mapas y rutas,,Información desactualizada,,5,Eventos y experiencias locales,,Exceso de publicidad,,
459,Tlaxcala,,40–49 años,Hombre,Varias veces al año,1 vez,4 veces o más,,Google,,Evito apps que parecen publicidad disfrazada,,Opiniones de otros usuarios,,5,1,Mapas y rutas,,Recomendaciones poco confiables,,1,Información verificada,,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso, Falta de valor real, No confiar en las recomendaciones",Que la app no ocupe mucha memoria para que pueda descargarla con facilidad,
460,Ciudad de México,,50–59 años,Hombre,Esporádicamente,1 vez,4 veces o más,,Recomendaciones de amigos / familia,,Confío en sus recomendaciones,,Cercanía / ubicación,,5,5,Información offline,,Información desactualizada,,1,Uso sin conexión,,"No confiar en las recomendaciones, Falta de valor real, Exceso de publicidad",Sería de mucha utilidad que la aplicación se pueda usar sin Internet ya que en lugares con naturaleza a falla bastante la señal,
461,Hidalgo,Pachuca de Soto,18–29 años,Hombre,Una vez al año,4 veces o más,4 veces o más,,Blogs o influencers,,Confío en sus recomendaciones,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Información desactualizada,,3,Recomendaciones locales confiables,,"Exceso de publicidad, Mala experiencia de uso",,
462,Estado de México,,18–29 años,Mujer,Esporádicamente,2 veces,Viaje Familiar,,Redes sociales,,Me generan seguridad para tomar decisiones,,Opiniones de otros usuarios,,5,5,Recomendaciones cercanas,,Demasiadas opciones sin guía,,5,Eventos y experiencias locales,,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Confiable ,
463,Hidalgo,Alfajayucan,30–39 años,Mujer,Muy rara vez,2 veces,Viaje Familiar,,Redes sociales,,La información suele ser clara y actualizada,,Fotos reales,,3,5,Mapas y rutas,,Información desactualizada,,3,Eventos y experiencias locales,,"Exceso de publicidad, Mala experiencia de uso, Falta de valor real",Apoyo a la economía local. ,
464,Hidalgo,Huasca de Ocampo,40–49 años,Hombre,Varias veces al año,4 veces o más,Naturaleza,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Información desactualizada,,5,Rutas sugeridas,,"Mala experiencia de uso, Información falsa o incompleta, No confiar en las recomendaciones",Que fumcione,
465,Hidalgo,Mineral de la Reforma,40–49 años,Hombre,Varias veces al año,3 veces,Naturaleza,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Demasiadas opciones sin guía,,3,Información verificada,,Información falsa o incompleta,Buena aplicación facil uso,
466,Ciudad de México,,18–29 años,Mujer,Varias veces al año,2 veces,Cultura / Historia,,Redes sociales,,Confío en sus recomendaciones,,Fotos reales,,5,5,Eventos o actividades del día,,Demasiadas opciones sin guía,,5,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Facil ,
467,Ciudad de México,,30–39 años,Mujer,Varias veces al año,3 veces,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Eventos o actividades del día,,Falta de información en el momento exacto,,5,Eventos y experiencias locales,,Información falsa o incompleta,Buenas recomendaciones ,
468,Hidalgo,Pachuca de Soto,50–59 años,Mujer,Esporádicamente,4 veces o más,Viaje Familiar,,Recomendaciones de amigos / familia,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,2,5,Seguridad,,Falta de información en el momento exacto,,3,Información verificada,,Falta de valor real,"Que la información
Sea real",
469,Chihuahua,,30–39 años,Hombre,Una vez al año,2 veces,Naturaleza,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Recomendaciones cercanas,,Información desactualizada,,5,Eventos y experiencias locales,,"Información falsa o incompleta, Mala experiencia de uso, No confiar en las recomendaciones, Exceso de publicidad, Falta de valor real",Que lo que te ofrezca sea real y sea fácil su uso,
470,Ciudad de México,,18–29 años,Mujer,Muy rara vez,3 veces,Naturaleza,,Redes sociales,,Confío en sus recomendaciones,,Opiniones de otros usuarios,,5,5,Información offline,,Falta de información en el momento exacto,,4,Eventos y experiencias locales,,"Información falsa o incompleta, Falta de valor real, Exceso de publicidad",Que sea real,
471,Hidalgo,Pachuca de Soto,18–29 años,Mujer,Varias veces al año,4 veces o más,Viaje Familiar,,Redes sociales,,Confío en sus recomendaciones,,Fotos reales,,5,5,Mapas y rutas,,Demasiadas opciones sin guía,,5,Rutas sugeridas,,Exceso de publicidad,Que me de rutas y precios ,
472,Jalisco,,40–49 años,Mujer,Varias veces al año,1 vez,Descanso / relajación,,Blogs o influencers,,Me ayudan a ahorrar tiempo,,Fotos reales,,5,5,Mapas y rutas,,Recomendaciones poco confiables,,5,Eventos y experiencias locales,,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",Queme faciliten tomar decisiones co. La i formación que me proporcione,
473,Ciudad de México,,30–39 años,Hombre,Esporádicamente,2 veces,Naturaleza,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,4,Horarios actualizados,,Falta de información en el momento exacto,,4,Eventos y experiencias locales,,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",Buenas recomendaciones con información real,
474,Ciudad de México,,30–39 años,Hombre,Varias veces al año,2 veces,Viaje Familiar,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Información desactualizada,,4,Rutas sugeridas,,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso","Sencilla de utilizar, recomendaciones de lugares verificados ",
475,Hidalgo,Tulancingo de Bravo,30–39 años,Mujer,Varias veces al año,4 veces o más,Naturaleza,,Redes sociales,,Me ayudan a ahorrar tiempo,,Que se trate de una plataforma oficial,,4,4,Eventos o actividades del día,,Falta de información en el momento exacto,,4,Rutas sugeridas,,"Información falsa o incompleta, No confiar en las recomendaciones, Mala experiencia de uso",Que de información certera ,
476,Hidalgo,Pachuca de Soto,40–49 años,Hombre,Varias veces al año,4 veces o más,Naturaleza,,Blogs o influencers,,Me generan seguridad para tomar decisiones,,Que no parezca patrocinada,,5,5,Mapas y rutas,,Recomendaciones poco confiables,,5,Información verificada,,"Falta de valor real, Información falsa o incompleta, Mala experiencia de uso",Que sea confiable ,
477,Estado de México,,30–39 años,Hombre,Una vez al año,1 vez,Viaje Familiar,,Redes sociales,,Me ayudan a ahorrar tiempo,,Fotos reales,,5,5,Seguridad,,Información desactualizada,,5,Información verificada,,"Falta de valor real, Información falsa o incompleta, No confiar en las recomendaciones",Que sea  confiable y actualizada y que nos informe si está abierto o no,
478,Estado de México,,50–59 años,Mujer,Una vez al año,1 vez,Naturaleza,,Recomendaciones de amigos / familia,,Confío en sus recomendaciones,,Que se trate de una plataforma oficial,,5,5,Mapas y rutas,,Información desactualizada,,5,Información verificada,,"Información falsa o incompleta, No confiar en las recomendaciones, Falta de valor real",Que sea confiable y verídica ,
479,Estado de México,,40–49 años,Hombre,Varias veces al año,4 veces o más,Viaje Familiar,,Redes sociales,,Confío en sus recomendaciones,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Falta de información en el momento exacto,,5,Información verificada,,"No confiar en las recomendaciones, Información falsa o incompleta, Mala experiencia de uso",Que sea confiable y segura ,
480,Hidalgo,Mixquiahuala de Juárez,18–29 años,Mujer,Esporádicamente,1 vez,Descanso / relajación,,Redes sociales,,Confío en sus recomendaciones,,Fotos reales,,5,5,Recomendaciones cercanas,,Demasiadas opciones sin guía,,5,Eventos y experiencias locales,,"Información falsa o incompleta, Exceso de publicidad, No confiar en las recomendaciones",Que sea Verídica y funcional,
481,Estado de México,,30–39 años,Mujer,Varias veces al año,3 veces,Naturaleza,,Redes sociales,,Confío en sus recomendaciones,,Fotos reales,,4,5,Horarios actualizados,,Demasiadas opciones sin guía,,5,Eventos y experiencias locales,,Mala experiencia de uso,Información confiable ,
482,Estado de México,,30–39 años,Mujer,Varias veces al año,4 veces o más,Gastronomía,,Redes sociales,,Confío en sus recomendaciones,,Fotos reales,,4,5,Horarios actualizados,,Recomendaciones poco confiables,,4,Rutas sugeridas,,"Exceso de publicidad, Información falsa o incompleta, Falta de valor real",Que muestrebrecomendaciones reales,
483,Hidalgo,Zacualtipán de Ángeles,30–39 años,Mujer,Varias veces al año,4 veces o más,Naturaleza,,Google,,Me generan seguridad para tomar decisiones,,Opiniones de otros usuarios,,4,4,Eventos o actividades del día,,Recomendaciones poco confiables,,3,Recomendaciones locales confiables,,"Exceso de publicidad, Mala experiencia de uso, Información falsa o incompleta, Falta de valor real, No confiar en las recomendaciones",Hola ,
484,Estado de México,,40–49 años,Hombre,Varias veces al año,3 veces,Naturaleza,,Recomendaciones de amigos / familia,,Confío en sus recomendaciones,,Precio,,4,4,Horarios actualizados,,Demasiadas opciones sin guía,,5,Eventos y experiencias locales,,Mala experiencia de uso,Que este actualizado,
485,Ciudad de México,,30–39 años,Hombre,Varias veces al año,2 veces,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Cercanía / ubicación,,5,5,Horarios actualizados,,Falta de información en el momento exacto,,4,Información verificada,,Falta de valor real,Que sea confiable ,
486,Estado de México,,50–59 años,Mujer,Una vez al año,2 veces,Viaje Familiar,,Redes sociales,,Confío en sus recomendaciones,,Recomendación local,,3,2,Horarios actualizados,,Recomendaciones poco confiables,,3,Información verificada,,Información falsa o incompleta,Que este verificada la información ,
487,Hidalgo,Atitalaquia,60 años o más,Hombre,Esporádicamente,3 veces,Descanso / relajación,,Recomendaciones de amigos / familia,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,3,3,Mapas y rutas,,Información desactualizada,,2,Rutas sugeridas,,Exceso de publicidad,Que sea confiable ,
488,Estado de México,,50–59 años,Mujer,Varias veces al año,2 veces,Descanso / relajación,,Recomendaciones de amigos / familia,,La información suele ser clara y actualizada,,Que se trate de una plataforma oficial,,4,4,Mapas y rutas,,Información desactualizada,,5,Recomendaciones locales confiables,,Información falsa o incompleta,,
489,Durango,,50–59 años,Hombre,Varias veces al año,1 vez,Viaje Familiar,,Páginas oficiales de turismo,,La información suele ser clara y actualizada,,Que se trate de una plataforma oficial,,4,5,Mapas y rutas,,Información desactualizada,,5,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",,
490,Ciudad de México,,18–29 años,Hombre,Una vez al año,1 vez,Naturaleza,,Redes sociales,,Confío en sus recomendaciones,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Demasiadas opciones sin guía,,5,Rutas sugeridas,,Mala experiencia de uso,Rutas y caminos confiables,
491,Estado de México,,18–29 años,Hombre,Varias veces al año,3 veces,4 veces o más,,Redes sociales,,Confío en sus recomendaciones,,Opiniones de otros usuarios,,5,4,Eventos o actividades del día,,Falta de información en el momento exacto,,5,Información verificada,,"Información falsa o incompleta, Mala experiencia de uso",Guia y ruta de rutinas,
492,Guanajuato,,30–39 años,Mujer,Una vez al año,1 vez,Viaje Familiar,,Blogs o influencers,,Me generan seguridad para tomar decisiones,,Que se trate de una plataforma oficial,,5,5,Información offline,,Información desactualizada,,5,Información verificada,,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",,
493,Hidalgo,Apan,60 años o más,Hombre,Varias veces al año,4 veces o más,Descanso / relajación,,Recomendaciones de amigos / familia,,Confío en sus recomendaciones,,Recomendación local,,5,5,Horarios actualizados,,Información desactualizada,,5,Información verificada,,"Información falsa o incompleta, Exceso de publicidad, No confiar en las recomendaciones",,
494,Hidalgo,Progreso de Obregón,50–59 años,Mujer,Muy rara vez,2 veces,Viaje Familiar,,Recomendaciones de amigos / familia,,Confío en sus recomendaciones,,Precio,,4,3,Mapas y rutas,,Información desactualizada,,4,Rutas sugeridas,,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Caridad ,
495,Hidalgo,Atotonilco de Tula,40–49 años,Hombre,Varias veces al año,3 veces,Viaje Familiar,,Recomendaciones de amigos / familia,,Me ayudan a ahorrar tiempo,,Precio,,2,2,Seguridad,,Información desactualizada,,3,Información verificada,,Exceso de publicidad,Veracidad de la información ,
496,Hidalgo,Tula de Allende,18–29 años,Hombre,Muy rara vez,4 veces o más,Naturaleza,,Redes sociales,,La información suele ser clara y actualizada,,Cercanía / ubicación,,1,1,Seguridad,,Poca visibilidad de comercios locales,,2,Información verificada,,Exceso de publicidad,Detallado  la información ,
497,Hidalgo,Tepeji del Río de Ocampo,30–39 años,Mujer,Esporádicamente,3 veces,Gastronomía,,Redes sociales,,Me ayudan a ahorrar tiempo,,Precio,,4,4,Mapas y rutas,,Información desactualizada,,4,Información verificada,,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Seguridad,
498,Hidalgo,Francisco I. Madero,30–39 años,Mujer,Muy rara vez,2 veces,Viaje Familiar,,Redes sociales,,La información suele ser clara y actualizada,,Precio,,4,4,Mapas y rutas,,Información desactualizada,,4,Recomendaciones locales confiables,,"Información falsa o incompleta, Mala experiencia de uso, Exceso de publicidad",Confianza,
499,Hidalgo,Huasca de Ocampo,18–29 años,Hombre,Varias veces al año,3 veces,Naturaleza,,,,Me ayudan a ahorrar tiempo,,Recomendación local,,4,4,Horarios actualizados,,Falta de información en el momento exacto,,3,Información verificada,,Mala experiencia de uso,Que tengas fotos actualizadas por que al momento de ir luegonloshprarios no son los que se dicen ser,
500,Estado de México,,50–59 años,Mujer,Una vez al año,1 vez,Naturaleza,,Recomendaciones de amigos / familia,,La información suele ser clara y actualizada,,Recomendación local,,5,5,Mapas y rutas,,Información desactualizada,,5,Información verificada,,"Exceso de publicidad, Información falsa o incompleta",Que de precios y recomiende lo mejor,
501,Estado de México,,18–29 años,Hombre,Varias veces al año,3 veces,Naturaleza,,Redes sociales,,Confío en sus recomendaciones,,Fotos reales,,4,5,Horarios actualizados,,Recomendaciones poco confiables,,5,Eventos y experiencias locales,,Exceso de publicidad,Que sea confiable ,
502,Ciudad de México,,18–29 años,Hombre,Una vez al año,2 veces,Cultura / Historia,,Redes sociales,,Me ayudan a ahorrar tiempo,,Precio,,4,4,Horarios actualizados,,Demasiadas opciones sin guía,,4,Rutas sugeridas,,"Información falsa o incompleta, Falta de valor real, Exceso de publicidad",Que tenga datos actualizados ,
503,Ciudad de México,,30–39 años,Hombre,Varias veces al año,2 veces,Viaje Familiar,,Recomendaciones de amigos / familia,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,4,4,Mapas y rutas,,Información desactualizada,,4,Uso sin conexión,,"Mala experiencia de uso, Falta de valor real","Promociones, información actualizada personalizacion del perfil",
504,Estado de México,,18–29 años,Hombre,Esporádicamente,3 veces,Cultura / Historia,,Recomendaciones de amigos / familia,,La información suele ser clara y actualizada,,Fotos reales,,5,5,Eventos o actividades del día,,Recomendaciones poco confiables,,5,Recomendaciones locales confiables,,"Exceso de publicidad, Mala experiencia de uso, Información falsa o incompleta",Que tengan datos actualizados ,
505,Hidalgo,Atotonilco el Grande,18–29 años,Mujer,,3 veces,Viaje Familiar,,Redes sociales,,Me ayudan a ahorrar tiempo,,Recomendación local,,4,5,Horarios actualizados,,Poca visibilidad de comercios locales,,4,Recomendaciones locales confiables,,"Exceso de publicidad, Falta de valor real, No confiar en las recomendaciones",Queso sea confiable ,
506,Ciudad de México,,18–29 años,Mujer,Varias veces al año,4 veces o más,Naturaleza,,Redes sociales,,Me ayudan a ahorrar tiempo,,Fotos reales,,4,4,Recomendaciones cercanas,,Demasiadas opciones sin guía,,5,Rutas sugeridas,,"Mala experiencia de uso, Información falsa o incompleta",Que pueda subir fotos y mis propias recomendaciones o comentarios ,
507,Hidalgo,Tepeji del Río de Ocampo,30–39 años,Hombre,Esporádicamente,2 veces,Gastronomía,,Páginas oficiales de turismo,,Confío en sus recomendaciones,,Opiniones de otros usuarios,,4,3,Seguridad,,Información desactualizada,,3,Recomendaciones locales confiables,,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Vive tu experiencia en hidalgo ,
508,Ciudad de México,,18–29 años,Hombre,Esporádicamente,3 veces,Descanso / relajación,,Redes sociales,,Confío en sus recomendaciones,,Precio,,4,3,Seguridad,,Información desactualizada,,4,Información verificada,,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Seriedad ,
509,Hidalgo,Atitalaquia,30–39 años,Hombre,Esporádicamente,3 veces,Descanso / relajación,,Recomendaciones de amigos / familia,,Me ayudan a ahorrar tiempo,,Precio,,4,4,Mapas y rutas,,Recomendaciones poco confiables,,4,Comercios y servicios cercanos,,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Seguridad,
510,Hidalgo,Atlapexco,18–29 años,Mujer,Esporádicamente,3 veces,Descanso / relajación,,Recomendaciones de amigos / familia,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,4,3,Seguridad,,Falta de información en el momento exacto,,4,Recomendaciones locales confiables,,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Confianza,
511,Estado de México,,18–29 años,Hombre,Esporádicamente,3 veces,Descanso / relajación,,Recomendaciones de amigos / familia,,Me ayudan a ahorrar tiempo,,Precio,,4,4,Mapas y rutas,,Información desactualizada,,4,Rutas sugeridas,,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Seguridad,
512,Hidalgo,Atotonilco de Tula,30–39 años,Mujer,Varias veces al año,4 veces o más,Viaje Familiar,,Recomendaciones de amigos / familia,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,4,4,Mapas y rutas,,Información desactualizada,,4,Rutas sugeridas,,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Claridad,
513,Hidalgo,Atotonilco de Tula,30–39 años,Hombre,Esporádicamente,4 veces o más,Viaje Familiar,,Redes sociales,,Confío en sus recomendaciones,,Recomendación local,,4,4,Mapas y rutas,,Recomendaciones poco confiables,,4,Rutas sugeridas,,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",Confianza,
514,Hidalgo,Tizayuca,18–29 años,Mujer,Varias veces al año,4 veces o más,Descanso / relajación,,Redes sociales,,La información suele ser clara y actualizada,,Cercanía / ubicación,,5,5,Mapas y rutas,,Falta de información en el momento exacto,,3,Eventos y experiencias locales,,Información falsa o incompleta,Confiable ,
515,Estado de México,,30–39 años,Hombre,Varias veces al año,2 veces,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,2,2,Seguridad,,Falta de información en el momento exacto,,2,Comercios y servicios cercanos,,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Que tenga recomendaciones de personas ajenas al gobierno y más apegada a la realidad ,
516,Estado de México,,30–39 años,Hombre,Varias veces al año,3 veces,Aventura,,Redes sociales,,Me ayudan a ahorrar tiempo,,Fotos reales,,5,5,Recomendaciones cercanas,,Poca visibilidad de comercios locales,,5,Eventos y experiencias locales,,"Información falsa o incompleta, No confiar en las recomendaciones, Mala experiencia de uso","Eficiente, clara y que tenga acceso a personas mayores",
517,Ciudad de México,,18–29 años,Mujer,Esporádicamente,2 veces,Naturaleza,,Redes sociales,,La información suele ser clara y actualizada,,Que no parezca patrocinada,,5,5,Horarios actualizados,,Demasiadas opciones sin guía,,5,Comercios y servicios cercanos,,"Información falsa o incompleta, Mala experiencia de uso, No confiar en las recomendaciones",Confiable ,
518,Ciudad de México,,50–59 años,Hombre,Varias veces al año,4 veces o más,Naturaleza,,Redes sociales,,Me ayudan a ahorrar tiempo,,Recomendación local,,3,3,Eventos o actividades del día,,Información desactualizada,,4,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real","Información certera, recomendaciones fidedigna, rutas señalizado.",
519,Hidalgo,Atotonilco de Tula,40–49 años,Hombre,Una vez al año,1 vez,Gastronomía,,Recomendaciones de amigos / familia,,Me ayudan a ahorrar tiempo,,Cercanía / ubicación,,5,5,Mapas y rutas,,Información desactualizada,,5,Información verificada,,Información falsa o incompleta,Que  sea segura ,
520,Ciudad de México,,18–29 años,Hombre,Varias veces al año,2 veces,Cultura / Historia,,Google,,Confío en sus recomendaciones,,Fotos reales,,5,5,Mapas y rutas,,Falta de información en el momento exacto,,5,Información verificada,,Mala experiencia de uso,Que sea muy segura  y confiable ,
521,Hidalgo,Tula de Allende,50–59 años,Mujer,Una vez al año,2 veces,Viaje Familiar,,Recomendaciones de amigos / familia,,Me ayudan a ahorrar tiempo,,Precio,,5,5,Mapas y rutas,,Recomendaciones poco confiables,,5,Rutas sugeridas,,Mala experiencia de uso,Confiabilidad ,
522,Hidalgo,Atotonilco de Tula,40–49 años,Mujer,Varias veces al año,3 veces,Viaje Familiar,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Seguridad,,Información desactualizada,,5,Recomendaciones locales confiables,,Información falsa o incompleta,Confiabilidad ,
523,Estado de México,,50–59 años,Hombre,Una vez al año,2 veces,Descanso / relajación,,Recomendaciones de amigos / familia,,Me ayudan a ahorrar tiempo,,Que se trate de una plataforma oficial,,5,5,Horarios actualizados,,Recomendaciones poco confiables,,5,Rutas sugeridas,,Información falsa o incompleta,Buenas recomendaciones ,
524,Hidalgo,Atotonilco de Tula,50–59 años,Hombre,Esporádicamente,2 veces,Cultura / Historia,,Redes sociales,,Me ayudan a ahorrar tiempo,,Que se trate de una plataforma oficial,,4,4,Mapas y rutas,,Falta de información en el momento exacto,,3,Información verificada,,"Información falsa o incompleta, Exceso de publicidad, No confiar en las recomendaciones",Que sea real y con datos actuales ,
525,Ciudad de México,,30–39 años,Mujer,Una vez al año,2 veces,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Fotos reales,,4,4,Mapas y rutas,,Información desactualizada,,Neutral,Rutas sugeridas,,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",QUE SEA UNA APP SEGURA,
526,Estado de México,,,Hombre,Varias veces al año,3 veces,Descanso / relajación,,Blogs o influencers,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,3,3,Mapas y rutas,,Demasiadas opciones sin guía,,Neutral,Recomendaciones locales confiables,,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Que tenga buena atencio,
527,Ciudad de México,,18–29 años,Hombre,Varias veces al año,4 veces o más,Cultura / Historia,,Redes sociales,,Me ayudan a ahorrar tiempo,,Fotos reales,,5,5,Mapas y rutas,,Información desactualizada,,Muy probable,Recomendaciones locales confiables,,"Información falsa o incompleta, Falta de valor real, No confiar en las recomendaciones",Que tenga información verifica,
528,Hidalgo,Atotonilco de Tula,30–39 años,Hombre,Muy rara vez,2 veces,Descanso / relajación,,Recomendaciones de amigos / familia,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,4,4,Mapas y rutas,,Información desactualizada,,Neutral,Rutas sugeridas,,"Información falsa o incompleta, Falta de valor real, Mala experiencia de uso",,
529,Hidalgo,Tula de Allende,30–39 años,Mujer,Muy rara vez,1 vez,Descanso / relajación,,Redes sociales,,Confío en sus recomendaciones,,Precio,,3,5,Seguridad,,Recomendaciones poco confiables,,Poco probable,Recomendaciones locales confiables,,"Información falsa o incompleta, Mala experiencia de uso, No confiar en las recomendaciones",Confiable ,
530,Hidalgo,Mineral de la Reforma,60 años o más,Mujer,Varias veces al año,4 veces o más,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Poca visibilidad de comercios locales,,Probable,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",,
531,Estado de México,,18–29 años,Hombre,Varias veces al año,1 vez,Descanso / relajación,,Google (otro: Np),,Me ayudan a ahorrar tiempo,,Precio,,5,5,Mapas y rutas,,Información desactualizada,,Probable,Recomendaciones locales confiables,,Exceso de publicidad,Eficiencia ,
532,Hidalgo,Mineral del Chico,40–49 años,Mujer,Varias veces al año,3 veces,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,4,4,Mapas y rutas,,Información desactualizada,,Poco probable,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",Confiable ,
533,Estado de México,,30–39 años,Mujer,Muy rara vez,1 vez,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,4,Mapas y rutas,,Información desactualizada,,Muy probable,Recomendaciones locales confiables,,Información falsa o incompleta,,
534,Ciudad de México,,30–39 años,Mujer,Varias veces al año,1 vez,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Información desactualizada,,,5,,,,
535,Ciudad de México,,30–39 años,Hombre,Varias veces al año,2 veces,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,4,Mapas y rutas,,Información desactualizada,,Poco probable,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Fuera certera,
